Account_Length;Vmail_Message;Day_Mins;Eve_Mins;Night_Mins;Intl_Mins;CustServ_Calls;Churn;Intl_Plan;Vmail_Plan;Day_Calls;Day_Charge;Eve_Calls;Eve_Charge;Night_Calls;Night_Charge;Intl_Calls;Intl_Charge;State;Area_Code;Phone
128;25;11;8;10;10;1;0;0;1;110;2;99;1;91;0;3;0;KS;415;382-4657
107;26;7;8;11;1;1;0;0;1;123;1;103;1;103;0;3;0;OH;415;371-7191
137;0;10;5;7;1;0;0;0;0;114;2;110;0;104;0;5;0;NJ;415;358-1921
84;0;12;3;8;0;2;0;1;0;71;2;88;0;89;0;7;0;OH;408;375-9999
75;0;7;6;8;0;3;0;1;0;113;1;122;1;121;0;3;0;OK;415;330-6626
118;0;9;9;8;0;0;0;1;0;98;37.98;101;1;118;0;6;0;AL;510;391-8027
121;24;9;15;9;0;3;0;0;1;88;2;108;29.62;118;0;7;0;MA;510;355-9993
147;0;157;4;9;0;0;0;1;0;79;26.69;94;0;96;0;6;0;MO;415;329-9001
117;0;8;15;9;0;1;0;0;0;97;1;80;29.89;90;0;4;0;LA;408;335-4719
141;37;11;222;14;0;0;0;1;1;84;43.96;111;1;97;1;5;0;WV;415;330-8173
65;0;5;10;9;1;4;1;0;0;137;1;83;1;111;0;6;0;IN;415;329-6603
74;0;8;7;196;0;0;0;0;0;127;31.91;148;1;94;0;5;0;RI;415;344-9403
168;0;5;4;6;0;1;0;0;0;96;1;71;0;128;0;2;0;IA;408;363-1107
95;0;7;10;8;1;3;0;0;0;88;26.62;75;1;115;0;5;0;MT;510;394-8006
62;0;5;13;203;1;4;0;0;0;70;1;76;1;99;0;6;0;IA;415;366-9238
161;0;14;13;7;0;4;1;0;0;67;2;97;1;128;0;9;0;NY;415;351-7269
85;27;8;12;4;1;1;0;0;1;139;1;90;1;75;0;4;0;ID;408;350-8884
93;0;8;9;5;0;3;0;0;0;114;1;111;1;121;0;3;0;VT;510;386-2923
76;33;8;9;7;10;1;0;0;1;66;1;65;1;108;0;5;0;VA;510;356-2992
73;0;9;7;8;13;1;0;0;0;90;2;88;1;74;0;2;0;TX;415;373-2782
147;0;6;10;9;0;0;0;0;0;117;1;93;1;133;0;4;0;FL;415;396-5800
77;0;3;7;9;0;5;1;0;0;89;0;121;1;64;0;6;0;CO;408;393-7984
130;0;183;3;8;0;0;0;0;0;112;1;99;0;78;0;19;0;AZ;415;358-1958
111;0;5;6;8;0;2;0;0;0;103;1;102;1;105;0;6;0;SC;415;350-2565
132;0;3;10;237;0;0;0;0;0;86;1;72;1;115;0;2;0;VA;510;343-4696
174;0;5;12;10;1;3;0;0;0;76;1;112;1;115;0;5;0;NE;415;331-3698
57;39;213;8;8;0;0;0;0;1;115;2;112;1;115;0;3;0;WY;408;357-3817
54;0;6;6;4;1;3;0;0;0;73;1;100;1;68;0;4;0;MT;408;418-6412
20;0;190;11;8;0;0;0;0;0;109;1;84;1;102;0;6;0;MO;415;353-2630
49;0;5;9;7;0;1;0;0;0;117;1;109;1;90;0;1;3;HI;510;410-7789
142;0;4;6;10;1;2;0;0;0;95;1;63;1;148;0;6;0;IL;415;416-8428
75;0;9;8;10;0;1;0;0;0;105;2;107;1;98;0;5;0;NH;510;370-3359
172;0;212;1;12;1;3;0;0;0;121;2;115;0;78;1;10;0;LA;408;383-1121
12;0;10;11;12;0;1;1;0;0;118;2;119;1;90;1;3;0;AZ;408;360-1596
57;25;7;195;9;0;0;0;0;1;94;1;75;1;116;0;4;0;OK;408;395-2854
72;37;220;9;6;1;3;0;0;1;80;2;102;1;71;0;6;0;GA;415;362-1407
36;30;6;7;5;1;0;0;0;1;128;24.87;80;1;109;0;6;0;AK;408;341-9764
78;0;5;9;9;10;1;0;0;0;64;1;116;1;108;0;5;0;MA;415;353-3305
136;33;8;8;4;0;3;0;1;1;106;34.66;99;1;107;0;6;0;AK;415;402-1381
149;0;6;11;8;0;1;0;0;0;94;1;92;1;108;0;9;3;NJ;408;332-9891
98;0;5;7;8;0;3;0;0;0;102;1;85;1;135;0;2;0;GA;408;372-9976
135;41;7;8;5;1;0;1;1;1;85;1;107;1;78;0;15;0;MD;408;383-6029
34;0;5;12;13;10;2;0;0;0;82;1;98;1;78;1;4;0;AR;510;353-7289
160;0;4;7;7;0;3;0;0;0;77;1;110;1;92;0;4;0;ID;415;390-7274
64;0;154;9;11;0;1;0;0;0;67;1;118;1;86;1;3;0;WI;510;352-1237
59;28;5;213;7;0;2;0;0;1;97;1;92;1;116;0;5;0;OR;408;353-3061
65;0;9;7;6;1;3;0;0;0;120;35.92;122;1;118;0;5;0;MI;415;363-5450
142;0;187;6;10;0;2;0;0;0;133;31.79;74;0;127;0;5;2;DE;408;364-1995
119;0;7;10;6;0;5;1;0;0;114;1;117;1;91;0;3;0;ID;415;398-1294
97;24;6;9;3;11;1;0;0;1;135;1;58;1;79;0;3;0;WY;415;405-7146
52;0;8;11;10;0;3;0;0;0;108;32.62;96;1;87;0;5;0;IA;408;413-4957
60;0;9;9;249;0;1;0;0;0;57;2;115;1;129;0;3;0;IN;408;420-5645
10;0;8;8;12;0;2;0;0;0;112;31.64;66;1;57;1;6;0;VA;408;349-4396
96;0;7;11;10;0;2;0;0;0;117;1;67;1;68;0;5;0;UT;415;404-3211
87;0;151;9;8;0;5;1;0;0;83;25.67;116;1;127;0;3;0;WY;415;353-3759
81;0;7;10;11;0;1;0;0;0;67;29.84;85;1;98;1;3;0;IN;408;363-5947
141;0;5;180;6;8;1;0;0;0;98;1;62;1;128;0;2;0;CO;415;340-5121
121;30;8;3;8;0;3;1;0;1;129;33.73;77;0;77;0;3;0;CO;408;370-7574
68;0;6;10;5;1;3;0;0;0;70;1;164;1;103;0;3;0;WI;415;403-9733
125;0;10;7;8;12;1;0;0;0;103;38.98;126;1;95;0;8;0;OK;408;355-7251
174;0;8;7;7;0;1;0;0;0;97;32.66;94;1;54;0;4;0;ID;408;359-5893
116;34;11;7;7;0;2;0;0;1;83;45.66;142;1;106;0;3;0;CA;415;405-3371
74;33;8;10;138;1;2;0;0;1;91;32.93;96;1;92;0;3;0;MN;510;344-5117
149;28;8;8;11;1;3;0;0;1;92;30.72;64;1;53;1;3;0;SD;408;332-8160
38;0;5;7;159;0;2;0;0;0;98;1;97;1;106;0;6;0;NC;408;359-4081
40;41;6;7;9;0;2;0;0;1;74;1;88;1;102;0;5;0;WA;415;352-8305
43;0;10;9;7;0;0;0;1;0;105;42.76;104;1;67;0;4;0;WY;415;329-9847
113;0;5;9;5;0;0;0;1;0;93;1;119;1;139;0;8;0;MN;408;365-9011
126;0;9;9;6;0;1;0;0;0;70;35.97;80;1;60;0;1;0;UT;408;338-9472
150;0;7;7;6;1;4;1;0;0;101;1;110;1;100;0;3;0;TX;510;374-8042
138;0;10;7;12;0;3;0;0;0;93;2;83;1;104;1;7;0;NJ;408;359-1231
162;46;9;8;11;1;0;0;0;1;97;2;84;16;61;0;2;0;MN;510;413-7170
147;0;10;6;7;8;3;0;0;0;83;2;85;1;109;0;4;0;NM;510;415-2935
90;0;8;9;6;0;1;0;0;0;146;1;117;1;105;0;4;0;NV;415;399-4246
85;0;10;7;8;12;0;0;0;0;109;2;94;1;99;0;3;0;HI;415;362-5889
50;0;7;9;8;0;1;0;0;0;90;26.71;72;1;111;0;2;0;MN;415;350-8921
82;0;13;181;11;0;0;1;0;0;109;2;100;1;73;1;4;0;DC;415;374-5353
144;0;3;3;173;0;4;1;0;0;117;0;85;0;99;0;7;0;NY;408;360-1171
46;0;9;7;7;0;2;0;0;0;72;2;104;1;113;0;3;0;MN;415;355-8887
70;0;7;6;10;15;1;0;0;0;98;28.93;102;1;76;0;2;0;MD;408;333-1967
144;0;8;13;224;1;1;0;0;0;99;1;74;1;119;0;2;0;WV;415;354-4577
116;0;9;9;12;1;3;0;1;0;104;36.62;79;1;109;1;5;0;OR;415;331-7425
